Index,Name,Number Sentences,Readable Sentences,Easy Read Percentage,Total Words,Known Words,Unknown Words,Known Percentage,Total Kanji,Known Kanji,Unknown Kanji,Known Kanji Percentage,Kanji 10+,Known 10+,Known 10+ Percentage,Kanji 5+,Known 5+,Kanji 2+,Known 2+
0,86―エイティシックス― 1,3293,607,18,7025,2300,4725,32,1997,1338,659,67,845,766,90,1181,984,1660,1222
1,86―エイティシックス― 2,2583,435,16,6266,2169,4097,34,1901,1323,578,69,762,697,91,1084,929,1537,1185
2,86―エイティシックス― 3,3303,688,20,6877,2131,4746,30,2001,1317,684,65,850,753,88,1168,966,1604,1180
3,86―エイティシックス― 4,3390,651,19,6610,2168,4442,32,1893,1301,592,68,824,730,88,1126,947,1540,1180
4,86―エイティシックス― 5,3647,681,18,7171,2214,4957,30,2023,1326,697,65,904,794,87,1213,989,1660,1206
5,No Game No Life Vol. 1,3752,1040,27,4836,1947,2889,40,1607,1223,384,76,542,522,96,831,760,1270,1057
6,No Game No Life Vol. 2,3844,997,25,4785,1954,2831,40,1591,1232,359,77,527,510,96,823,755,1245,1051
7,No Game No Life Vol. 3,4221,944,22,4976,1945,3031,39,1585,1214,371,76,597,568,95,861,783,1268,1052
8,No Game No Life Vol. 4,3827,754,19,5284,2011,3273,38,1709,1256,453,73,592,561,94,896,819,1331,1091
9,No Game No Life Vol. 5,4375,894,20,5483,2049,3434,37,1746,1267,479,72,659,623,94,967,861,1403,1121
10,No Game No Life Vol. 6,4857,912,18,5509,2007,3502,36,1732,1271,461,73,767,707,92,1041,911,1421,1124
11,No Game No Life Vol. 7,4533,738,16,6283,2119,4164,33,1885,1322,563,70,722,671,92,1051,908,1540,1198
12,No Game No Life Vol. 8,4886,937,19,5504,1949,3555,35,1766,1256,510,71,676,621,91,999,864,1442,1114
13,No. 6 Vol. 1,2051,735,35,4095,1905,2190,46,1424,1130,294,79,474,459,96,751,696,1118,955
14,No. 6 Vol. 2,2047,699,34,4170,1863,2307,44,1555,1176,379,75,450,434,96,762,696,1195,998
15,No. 6 Vol. 3,1918,540,28,4208,1910,2298,45,1553,1189,364,76,464,447,96,758,697,1200,1021
16,No. 6 Vol. 4,2103,753,35,4102,1790,2312,43,1556,1183,373,76,464,444,95,763,694,1203,993
17,No. 6 Vol. 5,1918,618,32,4268,1777,2491,41,1615,1204,411,74,460,433,94,777,688,1275,1026
18,No. 6 Vol. 6,1949,603,30,3931,1735,2196,44,1519,1158,361,76,437,418,95,722,645,1190,964
19,No. 6 Vol. 7,1979,686,34,3953,1733,2220,43,1495,1132,363,75,414,397,95,685,637,1156,960
20,No. 6 Vol. 8,1856,476,25,4038,1700,2338,42,1518,1154,364,76,437,417,95,721,654,1158,953
21,No. 6 Vol. 9,2042,582,28,3989,1725,2264,43,1549,1173,376,75,432,412,95,729,666,1175,970
22,Re ゼロから始める異世界生活 Vol. 1,3277,644,19,6346,2260,4086,35,1735,1285,450,74,729,689,94,1026,916,1422,1147
23,Re ゼロから始める異世界生活 Vol. 10,3784,864,22,6322,2325,3997,36,1816,1309,507,72,770,736,95,1098,971,1508,1189
24,Re ゼロから始める異世界生活 Vol. 11,4042,929,22,6243,2180,4063,34,1850,1287,563,69,782,713,91,1090,930,1516,1152
25,Re ゼロから始める異世界生活 Vol. 12,3872,882,22,5993,2057,3936,34,1830,1284,546,70,768,693,90,1079,910,1510,1138
26,Re ゼロから始める異世界生活 Vol. 13,3940,997,25,5766,2030,3736,35,1772,1258,514,70,725,669,92,1043,895,1468,1140
27,Re ゼロから始める異世界生活 Vol. 14,3849,834,21,6101,2098,4003,34,1818,1279,539,70,793,726,91,1109,948,1527,1160
28,Re ゼロから始める異世界生活 Vol. 15,3936,852,21,6549,2230,4319,34,1893,1304,589,68,843,773,91,1157,973,1570,1188
29,Re ゼロから始める異世界生活 Vol. 16,3753,577,15,7115,2367,4748,33,1925,1328,597,68,823,779,94,1149,1009,1599,1229
30,Re ゼロから始める異世界生活 Vol. 17,3737,716,19,6923,2222,4701,32,1911,1319,592,69,840,766,91,1177,994,1601,1204
31,Re ゼロから始める異世界生活 Vol. 18,3729,687,18,6243,2105,4138,33,1855,1286,569,69,810,742,91,1107,956,1534,1154
32,Re ゼロから始める異世界生活 Vol. 19,3656,732,20,6743,2146,4597,31,1869,1303,566,69,846,772,91,1161,991,1570,1185
33,Re ゼロから始める異世界生活 Vol. 2,3857,836,21,6652,2325,4327,34,1808,1326,482,73,790,757,95,1077,962,1491,1192
34,Re ゼロから始める異世界生活 Vol. 20,3938,769,19,6560,2154,4406,32,1892,1300,592,68,810,735,90,1168,980,1578,1183
35,Re ゼロから始める異世界生活 Vol. 3,3910,804,20,6594,2299,4295,34,1798,1289,509,71,760,719,94,1072,943,1497,1186
36,Re ゼロから始める異世界生活 Vol. 4,3738,693,18,6756,2293,4463,33,1862,1315,547,70,780,728,93,1105,969,1544,1192
37,Re ゼロから始める異世界生活 Vol. 5,3402,683,20,6462,2187,4275,33,1867,1327,540,71,781,732,93,1103,965,1543,1201
