Index,Name,Number Tokens,Total Words,Total Kanji,Kanji 10+,Kanji 5+,Kanji 2+
0,Dragon Quest Your Story.srt,5947,1256,685,106,220,433
1,Koe no Katachi - A Silent Voice.srt,7782,1313,764,131,247,484
2,Tenki no Ko - Weathering With You.srt,7601,1620,903,148,308,615
3,Kaze Tachinu - The Wind Rises.srt,5119,1386,833,112,214,511
4,Kotonoha no Niwa - The Garden of Words (LQ).srt,2130,713,514,45,95,278
5,Liz to Aoi Tori - Liz and the Blue Bird.srt,3033,745,488,70,132,312
6,A Whisker Away.srt,6750,1144,643,111,210,414
7,Haikyuu S1,44559,3879,1340,509,705,1065
8,Hello World.srt,3909,1124,712,92,194,439
9,Penguin Highway.srt,8249,1325,781,141,268,515
10,Ballroom e Youkoso,35901,3794,1370,435,668,1027
