Index,Date,Time,Words,Kanji
0,19/10/2020,12:16:01,4051,1412
1,20/10/2020,08:00:53,4059,1414
2,20/10/2020,09:34:20,4059,1414
3,21/10/2020,17:49:20,4065,1417
4,22/10/2020,08:10:07,4065,1417
5,22/10/2020,22:44:46,4072,1418
6,23/10/2020,19:05:01,4080,1419
7,24/10/2020,18:29:27,4088,1422
8,25/10/2020,14:14:40,4099,1422
9,26/10/2020,09:57:39,4113,1430
10,26/10/2020,09:58:17,4113,1430
11,27/10/2020,13:55:10,4113,1430
12,27/10/2020,18:34:54,4118,1432
13,28/10/2020,09:47:29,4124,1433
14,29/10/2020,14:47:22,4124,1433
15,29/10/2020,21:39:36,4129,1433
16,30/10/2020,07:54:03,4134,1434
17,31/10/2020,07:54:43,4140,1435
18,01/11/2020,10:29:23,4151,1438
19,02/11/2020,07:41:44,4161,1441
20,02/11/2020,21:03:25,4163,1442
21,03/11/2020,08:40:10,4172,1442
22,04/11/2020,07:56:40,4186,1443
23,05/11/2020,09:28:30,4203,1454
24,06/11/2020,11:56:18,4211,1456
25,07/11/2020,11:47:49,4233,1468
26,08/11/2020,11:11:12,4233,1468
27,08/11/2020,11:11:59,4245,1476
28,09/11/2020,10:53:33,4257,1484
29,10/11/2020,07:35:16,4284,1492
30,11/11/2020,10:38:24,4301,1499
31,12/11/2020,11:57:26,4298,1499
32,12/11/2020,12:02:01,4298,1499
33,12/11/2020,12:08:32,4298,1499
34,13/11/2020,12:36:41,4311,1500
35,13/11/2020,14:41:01,4313,1502
36,14/11/2020,10:46:04,4322,1502
37,14/11/2020,20:12:45,4323,1503
38,14/11/2020,20:16:02,4323,1503
39,14/11/2020,20:17:06,4358,1504
40,15/11/2020,09:44:50,4373,1507
41,15/11/2020,20:13:58,4373,1507
42,15/11/2020,20:18:20,4373,1507
43,15/11/2020,20:21:25,4373,1507
44,15/11/2020,20:25:09,4373,1507
45,15/11/2020,20:25:17,4373,1507
